"","STO","ENR","CLI","DUR"
"A",0.117647058823529,0.225409836065574,0.095,1
"B",0,0,0,0.230851442899072
"C",0.647058823529412,0.489344262295082,0.24,0.713573209991183
"D",0.294117647058824,0.477868852459016,0.2575,0.713216957789738
"E",0,0.295081967213115,0.32,0.142857142857143
"F",1,1,1,0.16066975422974
"G",0.352941176470588,0.834426229508197,0.26,0.58354114725296
"H",0.0588235294117647,0.0508196721311475,0.035,0.407908799478907
"I",0,0.534426229508197,0.265,0.139650872827413
"J",0.0588235294117647,0.29672131147541,0.4275,0.144994656282536
"K",0,0.198360655737705,0.295,0
