Search_type,Repository,package,Color_coding
PCA_search,CRAN,auto.pca,Excluded
PCA_search,CRAN,bootSVD,Excluded
PCA_search,CRAN,cauchypca,Excluded
PCA_search,CRAN,ddpca,Excluded
PCA_search,CRAN,do3PCA,Excluded
PCA_search,CRAN,EESPCA,Excluded
PCA_search,CRAN,epca,Excluded
PCA_search,CRAN,FactorAssumptions,Excluded
PCA_search,CRAN,fastglmpca,Excluded
PCA_search,CRAN,FPCdpca,Excluded
PCA_search,CRAN,funpca,Excluded
PCA_search,CRAN,hdpca,Excluded
PCA_search,CRAN,jvcoords,Excluded
PCA_search,CRAN,KSA,Excluded
PCA_search,CRAN,loadings,Excluded
PCA_search,CRAN,markerpen,Excluded
PCA_search,CRAN,MDSPCAShiny,Excluded
PCA_search,CRAN,mvMonitoring,Excluded
PCA_search,CRAN,onlinePCA,Excluded
PCA_search,CRAN,pcadapt,Excluded
PCA_search,CRAN,PCADSC,Excluded
PCA_search,CRAN,pcaL1,Excluded
PCA_search,CRAN,pPCA,Excluded
PCA_search,CRAN,RankPCA,Excluded
PCA_search,CRAN,RCCPCA,Excluded
PCA_search,CRAN,RcmdrPlugin.PcaRobust,Excluded
PCA_search,CRAN,RMLPCA,Excluded
PCA_search,CRAN,sparsepca,Excluded
PCA_search,CRAN,SpatPCA,Excluded
PCA_search,CRAN,SPCAvRP,Excluded
BIPLOT_search,CRAN,areabiplot,Excluded
BIPLOT_search,CRAN,bipl5,Biplot
BIPLOT_search,CRAN,biplotbootGUI,Excluded
BIPLOT_search,CRAN,biplotEZ,Biplot
BIPLOT_search,CRAN,BiplotGUI,Biplot
BIPLOT_search,CRAN,bpca,Biplot
BIPLOT_search,CRAN,calibrate,Excluded
BIPLOT_search,CRAN,dynBiplotGUI,Excluded
BIPLOT_search,CRAN,ggbiplot,Biplot
BIPLOT_search,CRAN,GGEBiplots,Excluded
BIPLOT_search,CRAN,MultBiplotR,Biplot
BIPLOT_search,CRAN,multibiplotGUI,Excluded
PCA_search,CRAN,compindPCA,Excluded
PCA_search,CRAN,DLPCA,Excluded
PCA_search,CRAN,elasticnet,Excluded
PCA_search,CRAN,freqdom,Excluded
PCA_search,CRAN,GABB,Excluded
PCA_search,CRAN,gaston,Excluded
PCA_search,CRAN,ggpca,Excluded
PCA_search,CRAN,glmpca,Excluded
PCA_search,CRAN,Gmedian,Excluded
PCA_search,CRAN,gwaRs,Excluded
PCA_search,CRAN,GWnnegPCA,Excluded
PCA_search,CRAN,kpcaIG,Excluded
PCA_search,CRAN,LearnPCA,Excluded
PCA_search,CRAN,nipals,Excluded
PCA_search,CRAN,nsprcomp,Excluded
PCA_search,CRAN,PCAmixdata,PCA
PCA_search,CRAN,pcaPP,Excluded
PCA_search,CRAN,pcdpca,Excluded
PCA_search,CRAN,pesel,Excluded
PCA_search,CRAN,PoissonPCA,Excluded
PCA_search,CRAN,primePCA,Excluded
PCA_search,CRAN,rospca,Excluded
PCA_search,CRAN,rpca,Excluded
PCA_search,CRAN,VBsparsePCA,Excluded
PCA_search,CRAN,adaptiveGPCA,Excluded
GENERALIST,CRAN,vegan,Generalist
GENERALIST,CRAN,amap,Generalist
GENERALIST,CRAN,ade4,Generalist
GENERALIST,CRAN,FactoMineR,Generalist
GENERALIST,CRAN,psych,Generalist
PCA_search,Bioconductor,PCAtools,PCA
PCA_search,Bioconductor,scPCA,Excluded
PCA_search,Bioconductor,regionalpcs,Excluded
PCA_search,Bioconductor,SNPRelate,Excluded
PCA_search,Bioconductor,pcaMethods,PCA
PCA_search,Bioconductor,ropls,Excluded
PCA_search,Bioconductor,pcaExplorer,Excluded
